207,0
229,0
754,0
651,0
380,0
374,0
15,1
663,0
240,0
131,1
706,0
227,0
342,0
595,0
516,0
779,0
193,1
650,0
603,0
66,1
759,0
76,1
483,0
776,0
517,0
616,0
568,0
194,1
135,1
328,0
485,0
384,0
698,0
115,1
511,0
415,0
337,0
769,0
587,0
614,0
582,0
313,0
357,0
111,1
641,0
127,1
199,1
606,0
219,0
356,0
739,0
727,0
622,0
274,0
749,0
521,0
377,0
106,1
791,0
141,1
263,0
533,0
695,0
302,0
601,0
426,0
84,1
684,0
109,1
708,0
634,0
153,1
167,1
495,0
432,0
36,1
437,0
671,0
428,0
464,0
404,0
298,0
682,0
347,0
402,0
351,0
371,0
110,1
60,1
514,0
289,0
401,0
226,0
332,0
589,0
439,0
99,1
430,0
530,0
234,0
700,0
561,0
321,0
556,0
632,0
287,0
573,0
508,0
48,1
231,0
286,0
662,0
281,0
172,1
327,0
11,1
418,0
70,1
107,1
725,0
797,0
116,1
185,1
760,0
346,0
520,0
597,0
90,1
481,0
575,0
306,0
140,1
701,0
280,0
28,1
547,0
192,1
540,0
297,0
35,1
54,1
50,1
326,0
598,0
395,0
408,0
258,0
213,0
165,1
767,0
180,1
352,0
554,0
420,0
252,0
702,0
183,1
591,0
784,0
796,0
74,1
515,0
732,0
524,0
435,0
251,0
349,0
734,0
155,1
537,0
486,0
43,1
449,0
694,0
629,0
693,0
133,1
674,0
735,0
108,1
293,0
309,0
436,0
526,0
71,1
771,0
288,0
730,0
492,0
103,1
635,0
578,0
609,0
266,0
375,0
472,0
774,0
559,0
181,1
659,0
